biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
46230878,SAMN46230878,,NMI7167-19,rectal swab,Homo sapiens,2019,Poland: Piotrkow Trybunalski,,,,,GCF_053552175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/175/GCA_053552175.1_ASM5355217v1,Citrobacter freundii
46230877,SAMN46230877,,NMI2980-13,rectal swab,Homo sapiens,2013,Poland: Gdansk,,,,,GCF_053552195.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/195/GCF_053552195.1_ASM5355219v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/195/GCA_053552195.1_ASM5355219v1,Citrobacter freundii
46230876,SAMN46230876,,NMI7091-18,rectal swab,Homo sapiens,2018,Poland: Poznan,,,,,GCF_053552215.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/215/GCF_053552215.1_ASM5355221v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/215/GCA_053552215.1_ASM5355221v1,Citrobacter freundii
46230875,SAMN46230875,,NMI2359-19,rectal swab,Homo sapiens,2019,Poland: Kielce,,,,,GCF_053552235.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/235/GCF_053552235.1_ASM5355223v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/235/GCA_053552235.1_ASM5355223v1,Citrobacter freundii
46230874,SAMN46230874,,NMI2793-19,rectal swab,Homo sapiens,2019,Poland: Kielce,,,,,GCF_053552255.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/255/GCF_053552255.1_ASM5355225v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/255/GCA_053552255.1_ASM5355225v1,Citrobacter freundii
46230873,SAMN46230873,,NMI615-19,rectal swab,Homo sapiens,2019,Poland: Checiny,,,,,GCF_053552295.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/295/GCF_053552295.1_ASM5355229v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/295/GCA_053552295.1_ASM5355229v1,Citrobacter freundii
46230872,SAMN46230872,,NMI419-19,rectal swab,Homo sapiens,2019,Poland: Zabrze,,,,,GCF_053552275.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/275/GCF_053552275.1_ASM5355227v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/275/GCA_053552275.1_ASM5355227v1,Citrobacter freundii
46230871,SAMN46230871,,NMI6473-17,rectal swab,Homo sapiens,2017,Poland: Kielce,,,,,GCF_053552315.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/315/GCF_053552315.1_ASM5355231v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/315/GCA_053552315.1_ASM5355231v1,Citrobacter freundii
46230870,SAMN46230870,,NMI5534-18,rectal swab,Homo sapiens,2018,Poland: Brzeg,,,,,GCF_053552335.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/335/GCF_053552335.1_ASM5355233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/335/GCA_053552335.1_ASM5355233v1,Citrobacter freundii
46230869,SAMN46230869,,NMI5602-18,rectal swab,Homo sapiens,2018,Poland: Opole,,,,,GCF_053552355.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/552/355/GCF_053552355.1_ASM5355235v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/552/355/GCA_053552355.1_ASM5355235v1,Citrobacter freundii
