biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
48693710,SAMN48693710,,D120A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693709,SAMN48693709,,D29C,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693708,SAMN48693708,,D29B,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693707,SAMN48693707,,D29A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693706,SAMN48693706,,D15E,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693705,SAMN48693705,,D15D,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693704,SAMN48693704,,D15C,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693703,SAMN48693703,,D15B,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693702,SAMN48693702,,D15A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693701,SAMN48693701,,D14A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693700,SAMN48693700,,D13A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693699,SAMN48693699,,D11D,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693698,SAMN48693698,,D3A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693697,SAMN48693697,,D2A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693696,SAMN48693696,,D1D,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693695,SAMN48693695,,D1A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693694,SAMN48693694,,D0C,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693693,SAMN48693693,,D0B,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693692,SAMN48693692,,D0A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693691,SAMN48693691,,D-5B,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693690,SAMN48693690,,D-5A,lung sputum,Homo sapiens,2022,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693689,SAMN48693689,,D-202,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693688,SAMN48693688,,D-321B,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693687,SAMN48693687,,D-321A,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693686,SAMN48693686,,D-370B,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693685,SAMN48693685,,D-370A,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693684,SAMN48693684,,D-440B,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693683,SAMN48693683,,D-440A,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48693682,SAMN48693682,,D-538A,lung sputum,Homo sapiens,2021,USA: San Diego,,,,,,,,,Pseudomonas aeruginosa
48625799,SAMN48625799,,PAMNT054,,not collected,not applicable,not applicable,,,,,,,,,Pseudomonas aeruginosa
48625798,SAMN48625798,,PAMNT051,,not collected,not applicable,not applicable,,,,,,,,,Pseudomonas aeruginosa
48625797,SAMN48625797,,PAMNT049,,not collected,not applicable,not applicable,,,,,,,,,Pseudomonas aeruginosa
48625796,SAMN48625796,,PAMNT048,,not collected,not applicable,not applicable,,,,,,,,,Pseudomonas aeruginosa
48625795,SAMN48625795,,PAMNT044,,not collected,not applicable,not applicable,,,,,,,,,Pseudomonas aeruginosa
48625794,SAMN48625794,,PAMNT043,,not collected,not applicable,not applicable,,,,,,,,,Pseudomonas aeruginosa
32736171,SAMN32736171,,Pa-wfmc-01,blood,Homo sapiens,2022-11-16,China:Weifang,,,,,,,,,Pseudomonas aeruginosa
54558993,SAMN54558993,,,urine,,2025-12-17,USA,,,,,,,,,Pseudomonas aeruginosa
54558118,SAMN54558118,,,urine,Homo sapiens,2024-01-08,"Viet Nam: Cho Ray Hospital, Ho Chi Minh",,,,,,,,,Pseudomonas aeruginosa
54555135,SAMN54555135,,unknown,unknown,Homo sapiens,2025,USA,,,,,GCA_054471555.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/471/555/GCA_054471555.1_PDT003050137.1,Pseudomonas aeruginosa
54555131,SAMN54555131,,unknown,unknown,Homo sapiens,2025,USA,,,,,GCA_054471595.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/471/595/GCA_054471595.1_PDT003050134.1,Pseudomonas aeruginosa
54555130,SAMN54555130,,unknown,unknown,Homo sapiens,2025,USA,,,,,GCA_054471655.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/471/655/GCA_054471655.1_PDT003050133.1,Pseudomonas aeruginosa
48739815,SAMN48739815,,PAH,sputum,Homo sapiens,2022-08-22,Argentina: Buenos Aires,,,,,GCF_054507755.1,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/507/755/GCF_054507755.1_ASM5450775v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/507/755/GCA_054507755.1_ASM5450775v1,Pseudomonas aeruginosa
54554639,SAMN54554639,,Pseudomonas aeruginosa12,Pure culture12,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554638,SAMN54554638,,Pseudomonas aeruginosa11,Pure culture11,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554637,SAMN54554637,,Pseudomonas aeruginosa10,Pure culture10,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554636,SAMN54554636,,Pseudomonas aeruginosa9,Pure culture9,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554635,SAMN54554635,,Pseudomonas aeruginosa8,Pure culture8,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554634,SAMN54554634,,Pseudomonas aeruginosa7,Pure culture7,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554633,SAMN54554633,,Pseudomonas aeruginosa6,Pure culture6,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554632,SAMN54554632,,Pseudomonas aeruginosa5,Pure culture5,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554631,SAMN54554631,,Pseudomonas aeruginosa4,Pure culture4,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554630,SAMN54554630,,Pseudomonas aeruginosa3,Pure culture3,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554629,SAMN54554629,,Pseudomonas aeruginosa2,Pure culture2,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54554628,SAMN54554628,,Pseudomonas aeruginosa1,Pure culture1,,missing,China:Ningbo,,,,,,,,,Pseudomonas aeruginosa
54553326,SAMN54553326,,PC,Surgery bed,Homo sapiens,2023-12-13,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54553325,SAMN54553325,,P21,Ear swab,Homo sapiens,2023-11-17,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54553324,SAMN54553324,,P16,sputum,Homo sapiens,2023-10-20,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54553323,SAMN54553323,,P13,blood,Homo sapiens,2023-09-10,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54553322,SAMN54553322,,P10,urine,Homo sapiens,2023-07-25,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54553321,SAMN54553321,,P9,sputum,Homo sapiens,2023-07-10,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54553320,SAMN54553320,,P2,throat swab,Homo sapiens,2023-01-04,Iraq: Baghdad,,,,,,,,,Pseudomonas aeruginosa
54502734,SAMN54502734,,2375,urine,Homo sapiens,2021/2022,China:Nanchang,,,,,GCF_054495325.1,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/495/325/GCF_054495325.1_ASM5449532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/495/325/GCA_054495325.1_ASM5449532v1,Pseudomonas aeruginosa
54502733,SAMN54502733,,2288,cerebrospinal fluid,Homo sapiens,2021/2022,China:Nanchang,,,,,GCF_054495415.1,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/495/415/GCF_054495415.1_ASM5449541v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/495/415/GCA_054495415.1_ASM5449541v1,Pseudomonas aeruginosa
54502732,SAMN54502732,,6327,Catheter tip,Homo sapiens,2021/2022,China:Nanchang,,,,,GCF_054495335.1,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/495/335/GCF_054495335.1_ASM5449533v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/495/335/GCA_054495335.1_ASM5449533v1,Pseudomonas aeruginosa
54529795,SAMN54529795,,SCHI0211.S.1,Oral wash,Homo sapiens,2024-09-05,Australia: Sunshine Coast,,,,,,,,,Pseudomonas aeruginosa
54529794,SAMN54529794,,SCHI0218.S.1,Oral wash,Homo sapiens,2024-10-10,Australia: Sunshine Coast,,,,,,,,,Pseudomonas aeruginosa
54529254,SAMN54529254,,2025GO-00619,Unknown,Homo sapiens,2025,USA,,,,,GCA_054416235.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/235/GCA_054416235.1_PDT003048738.1,Pseudomonas aeruginosa
54529249,SAMN54529249,,2025GO-00605,Unknown,Homo sapiens,2025,USA,,,,,GCA_054416255.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/255/GCA_054416255.1_PDT003048758.1,Pseudomonas aeruginosa
54528387,SAMN54528387,,,Rectum,Homo sapiens,2025,USA,,,,,GCA_054414535.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/414/535/GCA_054414535.1_PDT003048624.1,Pseudomonas aeruginosa
54502648,SAMN54502648,,PS5,Tissue Biopsy Culture,Homo sapiens,2024-11-27,Turkey: Ankara,,,,,,,,,Pseudomonas aeruginosa
54502647,SAMN54502647,,PS4,Blood Culture,Homo sapiens,2024-11-26,Turkey: Ankara,,,,,,,,,Pseudomonas aeruginosa
54502646,SAMN54502646,,PS3,Deep Tracheal Aspirate Culture,Homo sapiens,2024-11-26,Turkey: Ankara,,,,,,,,,Pseudomonas aeruginosa
54502645,SAMN54502645,,PS2,Quantitative Cultures of Respiratory Secretions,Homo sapiens,2024-11-14,Turkey: Ankara,,,,,,,,,Pseudomonas aeruginosa
54502644,SAMN54502644,,PS1,Deep Tracheal Aspirate Culture,Homo sapiens,2024-11-26,Turkey: Ankara,,,,,,,,,Pseudomonas aeruginosa
37960601,SAMN37960601,,KK6,soil,,1993,USA: Texas,,,,,GCA_033345415.2,Complete Genome,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/345/415/GCA_033345415.2_ASM3334541v2,Pseudomonas aeruginosa
54494255,SAMN54494255,,,Tracheal Aspirate/Wash,Homo sapiens,2025-12-11,USA,,,,,GCA_054395525.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/395/525/GCA_054395525.1_PDT003047749.1,Pseudomonas aeruginosa
54494254,SAMN54494254,,,bronchoalveolar lavage,Homo sapiens,2025-12-17,USA,,,,,GCA_054395505.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/395/505/GCA_054395505.1_PDT003047750.1,Pseudomonas aeruginosa
54492382,SAMN54492382,,jcl-3,,,2022-06-30,China: Huaian,,,,,,,,,Pseudomonas aeruginosa
51798779,SAMN51798779,,cystic fibrosis clinical isolate 081,,Homo sapiens,2023-09-15,USA,,,,,,,,,Pseudomonas aeruginosa
51798778,SAMN51798778,,cystic fibrosis clinical isolate 047,,Homo sapiens,2023-09-15,USA,,,,,,,,,Pseudomonas aeruginosa
51798777,SAMN51798777,,cystic fibrosis clinical isolate 033,,Homo sapiens,2023-09-15,USA,,,,,,,,,Pseudomonas aeruginosa
51798776,SAMN51798776,,cystic fibrosis clinical isolate 002,,Homo sapiens,2023-09-15,USA,,,,,,,,,Pseudomonas aeruginosa
54491289,SAMEA120908212,,13520,,,,,,,,,,,,,Pseudomonas aeruginosa
54491015,SAMEA120908201,,24TCP,,,,,,,,,,,,,Pseudomonas aeruginosa
54490807,SAMEA120908206,,24TCP,,,,,,,,,,,,,Pseudomonas aeruginosa
54487857,SAMEA120908195,,13534,,,,,,,,,,,,,Pseudomonas aeruginosa
54487578,SAMEA120908198,,13534,,,,,,,,,,,,,Pseudomonas aeruginosa
54486098,SAMEA120908203,,24TCP,,,,,,,,,,,,,Pseudomonas aeruginosa
54485617,SAMEA120908210,,13520,,,,,,,,,,,,,Pseudomonas aeruginosa
54483932,SAMEA120908202,,24TCP,,,,,,,,,,,,,Pseudomonas aeruginosa
54483841,SAMEA120908196,,13534,,,,,,,,,,,,,Pseudomonas aeruginosa
54483195,SAMEA120908200,,13534,,,,,,,,,,,,,Pseudomonas aeruginosa
54483123,SAMEA120908208,,13520,,,,,,,,,,,,,Pseudomonas aeruginosa
54481664,SAMEA120908199,,13534,,,,,,,,,,,,,Pseudomonas aeruginosa
54481438,SAMEA120908205,,24TCP,,,,,,,,,,,,,Pseudomonas aeruginosa
54479988,SAMEA120908204,,24TCP,,,,,,,,,,,,,Pseudomonas aeruginosa
54479063,SAMEA120908209,,13520,,,,,,,,,,,,,Pseudomonas aeruginosa
54478644,SAMEA120908197,,13534,,,,,,,,,,,,,Pseudomonas aeruginosa
54478276,SAMEA120908211,,13520,,,,,,,,,,,,,Pseudomonas aeruginosa
54477581,SAMEA120908207,,13520,,,,,,,,,,,,,Pseudomonas aeruginosa
54471550,SAMN54471550,,missing,BAL,Homo sapiens,2025,USA,,,,,,,,,Pseudomonas aeruginosa
54471548,SAMN54471548,,missing,urine,Homo sapiens,2025,USA,,,,,,,,,Pseudomonas aeruginosa
54456506,SAMN54456506,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369345.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/345/GCA_054369345.1_PDT003045280.1,Pseudomonas aeruginosa
54456501,SAMN54456501,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369295.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/295/GCA_054369295.1_PDT003045286.1,Pseudomonas aeruginosa
54456496,SAMN54456496,,,tracheal aspirate,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369315.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/315/GCA_054369315.1_PDT003045291.1,Pseudomonas aeruginosa
54456492,SAMN54456492,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369245.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/245/GCA_054369245.1_PDT003045299.1,Pseudomonas aeruginosa
54456489,SAMN54456489,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369205.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/205/GCA_054369205.1_PDT003045302.1,Pseudomonas aeruginosa
54456486,SAMN54456486,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369185.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/185/GCA_054369185.1_PDT003045305.1,Pseudomonas aeruginosa
54456481,SAMN54456481,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369145.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/145/GCA_054369145.1_PDT003045311.1,Pseudomonas aeruginosa
54456473,SAMN54456473,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369165.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/165/GCA_054369165.1_PDT003045320.1,Pseudomonas aeruginosa
54456472,SAMN54456472,,,rectum swab,Homo sapiens,2025-03,Slovenia,,,,,GCA_054369105.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/105/GCA_054369105.1_PDT003045321.1,Pseudomonas aeruginosa
54456465,SAMN54456465,,,sputum,Homo sapiens,2025-02,Slovenia,,,,,GCA_054369125.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/125/GCA_054369125.1_PDT003045328.1,Pseudomonas aeruginosa
54456464,SAMN54456464,,,urine,Homo sapiens,2025-02,Slovenia,,,,,GCA_054369265.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/265/GCA_054369265.1_PDT003045292.1,Pseudomonas aeruginosa
54456463,SAMN54456463,,,rectum swab,Homo sapiens,2025-02,Slovenia,,,,,GCA_054369225.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/225/GCA_054369225.1_PDT003045293.1,Pseudomonas aeruginosa
54456460,SAMN54456460,,,rectum swab,Homo sapiens,2025-02,Slovenia,,,,,GCA_054369365.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/369/365/GCA_054369365.1_PDT003045282.1,Pseudomonas aeruginosa
47177160,SAMN47177160,,MLSE01,seawater,,2022,Bangladesh,,,,,GCF_048514535.1,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/514/535/GCF_048514535.1_ASM4851453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/514/535/GCA_048514535.1_ASM4851453v1,Pseudomonas aeruginosa
54450609,SAMN54450609,,not applicable,,Homo sapiens,2025,USA,,,,,GCA_054352715.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/352/715/GCA_054352715.1_PDT003045204.1,Pseudomonas aeruginosa
54450608,SAMN54450608,,not applicable,,Homo sapiens,2025,USA,,,,,GCA_054352595.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/352/595/GCA_054352595.1_PDT003045205.1,Pseudomonas aeruginosa
54448257,SAMN54448257,,2025GN-00351,sputum,Homo sapiens,2025,USA,,,,,GCA_054349535.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/349/535/GCA_054349535.1_PDT003044865.1,Pseudomonas aeruginosa
54448171,SAMN54448171,,,clinical,Homo sapiens,2025-12-30,USA: Wyoming,,,,,,,,,Pseudomonas aeruginosa
54448169,SAMN54448169,,,clinical,Homo sapiens,2025-12-24,USA: Wyoming,,,,,GCA_054349555.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/349/555/GCA_054349555.1_PDT003044797.1,Pseudomonas aeruginosa
54443526,SAMN54443526,,2026HL-01004,chest,Homo sapiens,2025,USA,,,,,,,,,Pseudomonas aeruginosa
54443337,SAMN54443337,,,wound,Homo sapiens,2026,USA,,,,,GCA_054346015.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/346/015/GCA_054346015.1_PDT003044528.1,Pseudomonas aeruginosa
53884069,SAMN53884069,,PA-555,,Homo sapiens,2023,"India: Tamil Nadu, Vellore",,,,,,,,,Pseudomonas aeruginosa
40889934,SAMN40889934,,19733,blood,Homo sapiens,2023-06-29,"China: Jiangsu, Nanjing",,,,,GCF_054299635.1,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/299/635/GCF_054299635.1_ASM5429963v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/299/635/GCA_054299635.1_ASM5429963v1,Pseudomonas aeruginosa
